ADANA DEMIRSPOR A.S.;Vincenzo MONTELLA
ALTAY S.K.;Mustafa DENIZLI
ATAKAS HATAYSPOR;Omer ERDOGAN
AYTEMIZ ALANYASPOR;Bulent KORKMAZ
BESIKTAS A.S.;Sergen YALCIN
CAYKUR RIZESPOR A.S.;Hamza HAMZAOGLU
FENERBAHCE A.S.;Vitor PEREIRA
FRAPORT-TAV ANTALYASPOR;Nuri SAHIN
GALATASARAY A.S.;Fatih TERIM
GAZIANTEP FUTBOL KULUBU A.S.;Erol BULUT
GZT GIRESUNSPOR;Hakan KELES
GOZTEPE A.S.;Nestor MAESTRO
ITTIFAK HOLDING KONYASPOR;Ilhan PALUT
KASIMPASA A.S.;Hakan MUTLU
MEDIPOL BASAKSEHIR F.K.;Emre BELOZOGLU
SIVASSPOR;Riza CALIMBAY
TRABZONSPOR A.S.;Abdullah AVCI
YENI MALATYASPOR;Marius SUMUDICA
